PCL ID	PCL Name	Type	Size	Perturbagen IDs	Pertubagen Names	Gene Targets	Tau Summary	Tau Best Cell	Best Cell	Composite Tau	Median Tanimoto Daylight	Median Tanimoto ECFP4
CP_PKC_ACTIVATOR	PKC activator	CP	3	BRD-A52650764|BRD-A15079084|BRD-K91145395	ingenol|phorbol-12-myristate-13-acetate|prostratin	PRKCD|PRKCE|PRKCA	99.9	99.92	PC3	99.92	0.73	0.26
CP_PROTEASOME_INHIBITOR	Proteasome inhibitor	CP	3	BRD-K78659596|BRD-K60230970|BRD-K15935639	ixazomib|MG-132|z-leu3-VS	PSMB1|PSMB2|PSMB5|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB10|PSMB11|PSMB3|PSMB4|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2	99.9	99.92	PC3	99.92	0.52	0.41
CP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR	Leucine rich repeat kinase inhibitor	CP	3	BRD-K01436366|BRD-K64857848|BRD-K50387473	XMD-1150|XMD-885|XMD-892	LRRK2|MAPK7	99.9	99.96	HA1E	99.96	0.77	0.57
OE_GPCR_SUBSET	GPCR Subset GOF	GOF	3	ccsbBroad304_05782|ccsbBroad304_05049|ccsbBroad304_04933	ADORA2A|GPBAR1|GPR119	n/a	99.87	99.62	MCF7	99.87	n/a	n/a
OE_CELL_CYCLE_INHIBITION	Cell Cycle Inhibition GOF	GOF	3	ccsbBroad304_00282|ccsbBroad304_05980|ccsbBroad304_00283	CDKN1A|CDKN1B|CDKN2C	n/a	99.87	99.91	PC3	99.91	n/a	n/a
CP_HSP_INHIBITOR	HSP inhibitor	CP	7	BRD-K83988098|BRD-K51967704|BRD-K65503129|BRD-A19500257|BRD-K41859756|BRD-K36529613|BRD-K33551950	alvespimycin|BIIB-021|CCT-018159|geldanamycin|NVP-AUY922|PU-H71|radicicol	HSP90AA1	99.85	99.49	VCAP	99.85	0.16	0.09
CP_PROTEIN_SYNTHESIS_INHIBITOR	Protein synthesis inhibitor	CP	8	BRD-A17065207|BRD-K80348542|BRD-A62184259|BRD-A25687296|BRD-K76674262|BRD-A28970875|BRD-A20697603|BRD-A26002865	brefeldin-a|cephaeline|cycloheximide|emetine|homoharringtonine|puromycin|thiostrepton|verrucarin-a	RPL3|NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL37|RPL8|RSL24D1|RPS2	99.72	99.8	PC3	99.8	0.18	0.08
CP_RIBONUCLEOTIDE_REDUCTASE_INHIBITOR	Ribonucleotide reductase inhibitor	CP	6	BRD-K93034159|BRD-A82371568|BRD-K33106058|BRD-K66788707|BRD-K15108141|BRD-K72093121	cladribine|clofarabine|cytarabine|fludarabine|gemcitabine|vidarabine	RRM1	99.7	99.65	PC3	99.7	0.69	0.33
CP_MEK_INHIBITOR	MEK inhibitor	CP	8	BRD-K89014967|BRD-K12244279|BRD-K49865102|BRD-K05104363|BRD-K88677950|BRD-K62810658|BRD-K57080016|BRD-K18787491	AS-703026|MEK1-2-inhibitor|PD-0325901|PD-184352|PD-198306|PD-98059|selumetinib|U-0126-EtOH	MAP2K1|MAP2K2	99.68	99.84	HT29	99.84	0.37	0.15
KD_RIBOSOMAL_40S_SUBUNIT	Ribosomal 40s Subunit LOF	LOF	14	CGS001-2197|CGS001-6204|CGS001-6207|CGS001-6208|CGS001-6210|CGS001-6217|CGS001-6223|CGS001-6233|CGS001-6188|CGS001-6189|CGS001-6193|CGS001-6194|CGS001-6201|CGS001-6203	FAU|RPS10|RPS13|RPS14|RPS15A|RPS16|RPS19|RPS27A|RPS3|RPS3A|RPS5|RPS6|RPS7|RPS9	n/a	99.61	99.77	HT29	99.77	n/a	n/a
OE_NFKB_ACTIVATION	NFKB Activation GOF	GOF	7	ccsbBroad304_02048|ccsbBroad304_00259|ccsbBroad304_02012|ccsbBroad304_06542|ccsbBroad304_07306|ccsbBroad304_07304|ccsbBroad304_01688	BCL10|CD40|FADD|LTBR|TNFRSF10A|TNFRSF10B|TNFRSF1A	n/a	99.59	99.58	A549	99.59	n/a	n/a
KD_VESICULAR_TRANSPORT	Vesicular Transport LOF	LOF	3	CGS001-1314|CGS001-9276|CGS001-22818	COPA|COPB2|COPZ1	n/a	99.56	99.55	HT29	99.56	n/a	n/a
